prompt,completion
"What was the Percent Premature Deliveries in Georgetown, South Carolina, in 2022?","The Percent Premature Deliveries in Georgetown, South Carolina, in 2022 was 7,2."
"What was the Percent Low Birthweight Deliveries in Georgetown, South Carolina, in 2022?","The Percent Low Birthweight Deliveries in Georgetown, South Carolina, in 2022 was 7,9."
"What was the Percent Chronic Physical Health Conditions in Georgetown, South Carolina, in 2022?","The Percent Chronic Physical Health Conditions in Georgetown, South Carolina, in 2022 was 22,9."
"What was the Percent Chronic Behavioral Health Conditions in Georgetown, South Carolina, in 2022?","The Percent Chronic Behavioral Health Conditions in Georgetown, South Carolina, in 2022 was 25,2."
"What was the SMM Per 10000 Deliveries in Georgetown, South Carolina, in 2022?","The SMM Per 10000 Deliveries in Georgetown, South Carolina, in 2022 was 92,6."
"What was the Percent Potentially Avoidable Primary Cesareans in Georgetown, South Carolina, in 2022?","The Percent Potentially Avoidable Primary Cesareans in Georgetown, South Carolina, in 2022 was 29,9."
"What was the Maternity Care Desert in Georgetown, South Carolina, in 2022?","The Maternity Care Desert in Georgetown, South Carolina, in 2022 was Access to Maternity Care."
"What was the Maternal Vulnerability Index (MVI) Score in Georgetown, South Carolina, in 2022?","The Maternal Vulnerability Index (MVI) Score in Georgetown, South Carolina, in 2022 was High."
"What was the MVI Reproductive Health in Georgetown, South Carolina, in 2022?","The MVI Reproductive Health in Georgetown, South Carolina, in 2022 was High."
"What was the MVI Physical Health in Georgetown, South Carolina, in 2022?","The MVI Physical Health in Georgetown, South Carolina, in 2022 was High."
"What was the MVI Mental Health in Georgetown, South Carolina, in 2022?","The MVI Mental Health in Georgetown, South Carolina, in 2022 was Med."
"What was the MVI General Health in Georgetown, South Carolina, in 2022?","The MVI General Health in Georgetown, South Carolina, in 2022 was Med."
"What was the MVI Socioeconomic Determinants in Georgetown, South Carolina, in 2022?","The MVI Socioeconomic Determinants in Georgetown, South Carolina, in 2022 was High."
"What was the MVI Physical Environment in Georgetown, South Carolina, in 2022?","The MVI Physical Environment in Georgetown, South Carolina, in 2022 was High."
"What was the population of Georgetown, South Carolina, in 2022?","The population of Georgetown, South Carolina, in 2022 was 63404."
"What is the area in square kilometers of Georgetown, South Carolina?","The area of Georgetown, South Carolina, is 2680,205089 square kilometers."
"What is the GNIS name associated with Georgetown, South Carolina?","The GNIS name associated with Georgetown, South Carolina, is Georgetown County."
"What was the Total Deliveries in Orangeburg, South Carolina, in 2022?","The Total Deliveries in Orangeburg, South Carolina, in 2022 was 700."
"What was the Percent Total Deliveries in Orangeburg, South Carolina, in 2022?","The Percent Total Deliveries in Orangeburg, South Carolina, in 2022 was 1,5."
"What was the Percent Medicaid Deliveries in Orangeburg, South Carolina, in 2022?","The Percent Medicaid Deliveries in Orangeburg, South Carolina, in 2022 was 84,4."
"What was the Percent Uninsured Deliveries in Orangeburg, South Carolina, in 2022?","The Percent Uninsured Deliveries in Orangeburg, South Carolina, in 2022 was 0,3."
"What was the Percent Rural Deliveries in Orangeburg, South Carolina, in 2022?","The Percent Rural Deliveries in Orangeburg, South Carolina, in 2022 was 51,7."
"What was the Percent Birthing Persons of Color in Orangeburg, South Carolina, in 2022?","The Percent Birthing Persons of Color in Orangeburg, South Carolina, in 2022 was 70,9."
"What was the Percent Black Non-Hispanic Birthing Persons in Orangeburg, South Carolina, in 2022?","The Percent Black Non-Hispanic Birthing Persons in Orangeburg, South Carolina, in 2022 was 64."
"What was the Percent Hispanic Birthing Persons in Orangeburg, South Carolina, in 2022?","The Percent Hispanic Birthing Persons in Orangeburg, South Carolina, in 2022 was 5,1."
"What was the Percent Other Non-Hispanic Birthing Persons in Orangeburg, South Carolina, in 2022?","The Percent Other Non-Hispanic Birthing Persons in Orangeburg, South Carolina, in 2022 was 1,7."
"What was the Percent Premature Deliveries in Orangeburg, South Carolina, in 2022?","The Percent Premature Deliveries in Orangeburg, South Carolina, in 2022 was 13,7."
"What was the Percent Low Birthweight Deliveries in Orangeburg, South Carolina, in 2022?","The Percent Low Birthweight Deliveries in Orangeburg, South Carolina, in 2022 was 13,4."
"What was the Percent Chronic Physical Health Conditions in Orangeburg, South Carolina, in 2022?","The Percent Chronic Physical Health Conditions in Orangeburg, South Carolina, in 2022 was 25,3."
"What was the Percent Chronic Behavioral Health Conditions in Orangeburg, South Carolina, in 2022?","The Percent Chronic Behavioral Health Conditions in Orangeburg, South Carolina, in 2022 was 17,6."
"What was the SMM Per 10000 Deliveries in Orangeburg, South Carolina, in 2022?","The SMM Per 10000 Deliveries in Orangeburg, South Carolina, in 2022 was 128,6."
"What was the Percent Potentially Avoidable Primary Cesareans in Orangeburg, South Carolina, in 2022?","The Percent Potentially Avoidable Primary Cesareans in Orangeburg, South Carolina, in 2022 was 26,3."
"What was the Maternity Care Desert in Orangeburg, South Carolina, in 2022?","The Maternity Care Desert in Orangeburg, South Carolina, in 2022 was Low Access to Care."
"What was the Maternal Vulnerability Index (MVI) Score in Orangeburg, South Carolina, in 2022?","The Maternal Vulnerability Index (MVI) Score in Orangeburg, South Carolina, in 2022 was High."
"What was the MVI Reproductive Health in Orangeburg, South Carolina, in 2022?","The MVI Reproductive Health in Orangeburg, South Carolina, in 2022 was Med."
"What was the MVI Physical Health in Orangeburg, South Carolina, in 2022?","The MVI Physical Health in Orangeburg, South Carolina, in 2022 was High."
"What was the MVI Mental Health in Orangeburg, South Carolina, in 2022?","The MVI Mental Health in Orangeburg, South Carolina, in 2022 was Med."
"What was the MVI General Health in Orangeburg, South Carolina, in 2022?","The MVI General Health in Orangeburg, South Carolina, in 2022 was High."
"What was the MVI Socioeconomic Determinants in Orangeburg, South Carolina, in 2022?","The MVI Socioeconomic Determinants in Orangeburg, South Carolina, in 2022 was High."
"What was the MVI Physical Environment in Orangeburg, South Carolina, in 2022?","The MVI Physical Environment in Orangeburg, South Carolina, in 2022 was Med."
"What was the population of Orangeburg, South Carolina, in 2022?","The population of Orangeburg, South Carolina, in 2022 was 84223."
"What is the area in square kilometers of Orangeburg, South Carolina?","The area of Orangeburg, South Carolina, is 2921,207133 square kilometers."
"What is the GNIS name associated with Orangeburg, South Carolina?","The GNIS name associated with Orangeburg, South Carolina, is Orangeburg County."
"What was the Total Deliveries in Chester, South Carolina, in 2022?","The Total Deliveries in Chester, South Carolina, in 2022 was 200."
"What was the Percent Total Deliveries in Chester, South Carolina, in 2022?","The Percent Total Deliveries in Chester, South Carolina, in 2022 was 0,4."
"What was the Percent Medicaid Deliveries in Chester, South Carolina, in 2022?","The Percent Medicaid Deliveries in Chester, South Carolina, in 2022 was 80,5."
"What was the Percent Uninsured Deliveries in Chester, South Carolina, in 2022?","The Percent Uninsured Deliveries in Chester, South Carolina, in 2022 was 2,5."
"What was the Percent Rural Deliveries in Chester, South Carolina, in 2022?","The Percent Rural Deliveries in Chester, South Carolina, in 2022 was 100."
"What was the Percent Birthing Persons of Color in Chester, South Carolina, in 2022?","The Percent Birthing Persons of Color in Chester, South Carolina, in 2022 was 47."
"What was the Percent Black Non-Hispanic Birthing Persons in Chester, South Carolina, in 2022?","The Percent Black Non-Hispanic Birthing Persons in Chester, South Carolina, in 2022 was 42,5."
"What was the Percent Hispanic Birthing Persons in Chester, South Carolina, in 2022?","The Percent Hispanic Birthing Persons in Chester, South Carolina, in 2022 was 4,5."
"What was the Percent Other Non-Hispanic Birthing Persons in Chester, South Carolina, in 2022?","The Percent Other Non-Hispanic Birthing Persons in Chester, South Carolina, in 2022 was 0."
"What was the Percent Premature Deliveries in Chester, South Carolina, in 2022?","The Percent Premature Deliveries in Chester, South Carolina, in 2022 was 8,5."
"What was the Percent Low Birthweight Deliveries in Chester, South Carolina, in 2022?","The Percent Low Birthweight Deliveries in Chester, South Carolina, in 2022 was 10."
"What was the Percent Chronic Physical Health Conditions in Chester, South Carolina, in 2022?","The Percent Chronic Physical Health Conditions in Chester, South Carolina, in 2022 was 28."
"What was the Percent Chronic Behavioral Health Conditions in Chester, South Carolina, in 2022?","The Percent Chronic Behavioral Health Conditions in Chester, South Carolina, in 2022 was 32,5."
"What was the SMM Per 10000 Deliveries in Chester, South Carolina, in 2022?","The SMM Per 10000 Deliveries in Chester, South Carolina, in 2022 was 150."
