prompt,completion
The value for Percent Total Deliveries in Kershaw in 2022 was equal to?,"Yes, your answer is here, the Percent Total Deliveries in Kershaw was equal to 1.6."
Can you provide some details regarding the value for Percent Total Deliveries in Kershaw in 2022?,"Yes, your queried detail is here, the Percent Total Deliveries in Kershaw was equal to 1.6."
"What was the Percent Medicaid Deliveries in Kershaw, Unknown, in 2022?","The Percent Medicaid Deliveries in Kershaw, Unknown, in 2022 was 60.2."
Can you tell me what was the Percent Medicaid Deliveries in Kershaw in 2022?,"Yes, your answer is here, the Percent Medicaid Deliveries in Kershaw was 60.2."
The value for Percent Medicaid Deliveries in Kershaw in 2022 was equal to?,"Yes, your answer is here, the Percent Medicaid Deliveries in Kershaw was equal to 60.2."
Can you provide some details regarding the value for Percent Medicaid Deliveries in Kershaw in 2022?,"Yes, your queried detail is here, the Percent Medicaid Deliveries in Kershaw was equal to 60.2."
"What was the Percent Uninsured Deliveries in Kershaw, Unknown, in 2022?","The Percent Uninsured Deliveries in Kershaw, Unknown, in 2022 was 0.8."
Can you tell me what was the Percent Uninsured Deliveries in Kershaw in 2022?,"Yes, your answer is here, the Percent Uninsured Deliveries in Kershaw was 0.8."
The value for Percent Uninsured Deliveries in Kershaw in 2022 was equal to?,"Yes, your answer is here, the Percent Uninsured Deliveries in Kershaw was equal to 0.8."
Can you provide some details regarding the value for Percent Uninsured Deliveries in Kershaw in 2022?,"Yes, your queried detail is here, the Percent Uninsured Deliveries in Kershaw was equal to 0.8."
"What was the Percent Black Non-Hispanic Birthing Persons in Kershaw, Unknown, in 2022?","The Percent Black Non-Hispanic Birthing Persons in Kershaw, Unknown, in 2022 was 28.5."
Can you tell me what was the Percent Black Non-Hispanic Birthing Persons in Kershaw in 2022?,"Yes, your answer is here, the Percent Black Non-Hispanic Birthing Persons in Kershaw was 28.5."
The value for Percent Black Non-Hispanic Birthing Persons in Kershaw in 2022 was equal to?,"Yes, your answer is here, the Percent Black Non-Hispanic Birthing Persons in Kershaw was equal to 28.5."
Can you provide some details regarding the value for Percent Black Non-Hispanic Birthing Persons in Kershaw in 2022?,"Yes, your queried detail is here, the Percent Black Non-Hispanic Birthing Persons in Kershaw was equal to 28.5."
"What was the Percent Hispanic Birthing Persons in Kershaw, Unknown, in 2022?","The Percent Hispanic Birthing Persons in Kershaw, Unknown, in 2022 was 10.6."
Can you tell me what was the Percent Hispanic Birthing Persons in Kershaw in 2022?,"Yes, your answer is here, the Percent Hispanic Birthing Persons in Kershaw was 10.6."
The value for Percent Hispanic Birthing Persons in Kershaw in 2022 was equal to?,"Yes, your answer is here, the Percent Hispanic Birthing Persons in Kershaw was equal to 10.6."
Can you provide some details regarding the value for Percent Hispanic Birthing Persons in Kershaw in 2022?,"Yes, your queried detail is here, the Percent Hispanic Birthing Persons in Kershaw was equal to 10.6."
"What was the Percent Other Non-Hispanic Birthing Persons in Kershaw, Unknown, in 2022?","The Percent Other Non-Hispanic Birthing Persons in Kershaw, Unknown, in 2022 was 1.6."
Can you tell me what was the Percent Other Non-Hispanic Birthing Persons in Kershaw in 2022?,"Yes, your answer is here, the Percent Other Non-Hispanic Birthing Persons in Kershaw was 1.6."
The value for Percent Other Non-Hispanic Birthing Persons in Kershaw in 2022 was equal to?,"Yes, your answer is here, the Percent Other Non-Hispanic Birthing Persons in Kershaw was equal to 1.6."
Can you provide some details regarding the value for Percent Other Non-Hispanic Birthing Persons in Kershaw in 2022?,"Yes, your queried detail is here, the Percent Other Non-Hispanic Birthing Persons in Kershaw was equal to 1.6."
"What was the Percent Premature Deliveries in Kershaw, Unknown, in 2022?","The Percent Premature Deliveries in Kershaw, Unknown, in 2022 was 10.8."
Can you tell me what was the Percent Premature Deliveries in Kershaw in 2022?,"Yes, your answer is here, the Percent Premature Deliveries in Kershaw was 10.8."
The value for Percent Premature Deliveries in Kershaw in 2022 was equal to?,"Yes, your answer is here, the Percent Premature Deliveries in Kershaw was equal to 10.8."
Can you provide some details regarding the value for Percent Premature Deliveries in Kershaw in 2022?,"Yes, your queried detail is here, the Percent Premature Deliveries in Kershaw was equal to 10.8."
"What was the Percent Low Birthweight Deliveries in Kershaw, Unknown, in 2022?","The Percent Low Birthweight Deliveries in Kershaw, Unknown, in 2022 was 10.2."
Can you tell me what was the Percent Low Birthweight Deliveries in Kershaw in 2022?,"Yes, your answer is here, the Percent Low Birthweight Deliveries in Kershaw was 10.2."
The value for Percent Low Birthweight Deliveries in Kershaw in 2022 was equal to?,"Yes, your answer is here, the Percent Low Birthweight Deliveries in Kershaw was equal to 10.2."
Can you provide some details regarding the value for Percent Low Birthweight Deliveries in Kershaw in 2022?,"Yes, your queried detail is here, the Percent Low Birthweight Deliveries in Kershaw was equal to 10.2."
"What was the Percent Chronic Physical Health Conditions in Kershaw, Unknown, in 2022?","The Percent Chronic Physical Health Conditions in Kershaw, Unknown, in 2022 was 29.1."
Can you tell me what was the Percent Chronic Physical Health Conditions in Kershaw in 2022?,"Yes, your answer is here, the Percent Chronic Physical Health Conditions in Kershaw was 29.1."
The value for Percent Chronic Physical Health Conditions in Kershaw in 2022 was equal to?,"Yes, your answer is here, the Percent Chronic Physical Health Conditions in Kershaw was equal to 29.1."
Can you provide some details regarding the value for Percent Chronic Physical Health Conditions in Kershaw in 2022?,"Yes, your queried detail is here, the Percent Chronic Physical Health Conditions in Kershaw was equal to 29.1."
"What was the Percent Chronic Behavioral Health Conditions in Kershaw, Unknown, in 2022?","The Percent Chronic Behavioral Health Conditions in Kershaw, Unknown, in 2022 was 25.5."
Can you tell me what was the Percent Chronic Behavioral Health Conditions in Kershaw in 2022?,"Yes, your answer is here, the Percent Chronic Behavioral Health Conditions in Kershaw was 25.5."
The value for Percent Chronic Behavioral Health Conditions in Kershaw in 2022 was equal to?,"Yes, your answer is here, the Percent Chronic Behavioral Health Conditions in Kershaw was equal to 25.5."
Can you provide some details regarding the value for Percent Chronic Behavioral Health Conditions in Kershaw in 2022?,"Yes, your queried detail is here, the Percent Chronic Behavioral Health Conditions in Kershaw was equal to 25.5."
"What was the SMM Per 10000 Deliveries in Kershaw, Unknown, in 2022?","The SMM Per 10000 Deliveries in Kershaw, Unknown, in 2022 was 80.2."
Can you tell me what was the SMM Per 10000 Deliveries in Kershaw in 2022?,"Yes, your answer is here, the SMM Per 10000 Deliveries in Kershaw was 80.2."
The value for SMM Per 10000 Deliveries in Kershaw in 2022 was equal to?,"Yes, your answer is here, the SMM Per 10000 Deliveries in Kershaw was equal to 80.2."
Can you provide some details regarding the value for SMM Per 10000 Deliveries in Kershaw in 2022?,"Yes, your queried detail is here, the SMM Per 10000 Deliveries in Kershaw was equal to 80.2."
"What was the Percent Potentially Avoidable Primary Cesareans in Kershaw, Unknown, in 2022?","The Percent Potentially Avoidable Primary Cesareans in Kershaw, Unknown, in 2022 was 19.7."
Can you tell me what was the Percent Potentially Avoidable Primary Cesareans in Kershaw in 2022?,"Yes, your answer is here, the Percent Potentially Avoidable Primary Cesareans in Kershaw was 19.7."
The value for Percent Potentially Avoidable Primary Cesareans in Kershaw in 2022 was equal to?,"Yes, your answer is here, the Percent Potentially Avoidable Primary Cesareans in Kershaw was equal to 19.7."
Can you provide some details regarding the value for Percent Potentially Avoidable Primary Cesareans in Kershaw in 2022?,"Yes, your queried detail is here, the Percent Potentially Avoidable Primary Cesareans in Kershaw was equal to 19.7."
"What was the Maternity Care Desert in Kershaw, Unknown, in 2022?","The Maternity Care Desert in Kershaw, Unknown, in 2022 was Low Access to Care."
Can you tell me what was the Maternity Care Desert in Kershaw in 2022?,"Yes, your answer is here, the Maternity Care Desert in Kershaw was Low Access to Care."
The value for Maternity Care Desert in Kershaw in 2022 was equal to?,"Yes, your answer is here, the Maternity Care Desert in Kershaw was equal to Low Access to Care."
Can you provide some details regarding the value for Maternity Care Desert in Kershaw in 2022?,"Yes, your queried detail is here, the Maternity Care Desert in Kershaw was equal to Low Access to Care."
"What was the Maternal Vulnerability Index (MVI) Score in Kershaw, Unknown, in 2022?","The Maternal Vulnerability Index (MVI) Score in Kershaw, Unknown, in 2022 was High."
Can you tell me what was the Maternal Vulnerability Index (MVI) Score in Kershaw in 2022?,"Yes, your answer is here, the Maternal Vulnerability Index (MVI) Score in Kershaw was High."
The value for Maternal Vulnerability Index (MVI) Score in Kershaw in 2022 was equal to?,"Yes, your answer is here, the Maternal Vulnerability Index (MVI) Score in Kershaw was equal to High."
Can you provide some details regarding the value for Maternal Vulnerability Index (MVI) Score in Kershaw in 2022?,"Yes, your queried detail is here, the Maternal Vulnerability Index (MVI) Score in Kershaw was equal to High."
"What was the MVI Reproductive Health in Kershaw, Unknown, in 2022?","The MVI Reproductive Health in Kershaw, Unknown, in 2022 was Med."
Can you tell me what was the MVI Reproductive Health in Kershaw in 2022?,"Yes, your answer is here, the MVI Reproductive Health in Kershaw was Med."
The value for MVI Reproductive Health in Kershaw in 2022 was equal to?,"Yes, your answer is here, the MVI Reproductive Health in Kershaw was equal to Med."
Can you provide some details regarding the value for MVI Reproductive Health in Kershaw in 2022?,"Yes, your queried detail is here, the MVI Reproductive Health in Kershaw was equal to Med."
"What was the MVI Physical Health in Kershaw, Unknown, in 2022?","The MVI Physical Health in Kershaw, Unknown, in 2022 was High."
Can you tell me what was the MVI Physical Health in Kershaw in 2022?,"Yes, your answer is here, the MVI Physical Health in Kershaw was High."
The value for MVI Physical Health in Kershaw in 2022 was equal to?,"Yes, your answer is here, the MVI Physical Health in Kershaw was equal to High."
Can you provide some details regarding the value for MVI Physical Health in Kershaw in 2022?,"Yes, your queried detail is here, the MVI Physical Health in Kershaw was equal to High."
"What was the MVI Mental Health in Kershaw, Unknown, in 2022?","The MVI Mental Health in Kershaw, Unknown, in 2022 was Med."
Can you tell me what was the MVI Mental Health in Kershaw in 2022?,"Yes, your answer is here, the MVI Mental Health in Kershaw was Med."
The value for MVI Mental Health in Kershaw in 2022 was equal to?,"Yes, your answer is here, the MVI Mental Health in Kershaw was equal to Med."
Can you provide some details regarding the value for MVI Mental Health in Kershaw in 2022?,"Yes, your queried detail is here, the MVI Mental Health in Kershaw was equal to Med."
"What was the MVI General Health in Kershaw, Unknown, in 2022?","The MVI General Health in Kershaw, Unknown, in 2022 was High."
Can you tell me what was the MVI General Health in Kershaw in 2022?,"Yes, your answer is here, the MVI General Health in Kershaw was High."
The value for MVI General Health in Kershaw in 2022 was equal to?,"Yes, your answer is here, the MVI General Health in Kershaw was equal to High."
Can you provide some details regarding the value for MVI General Health in Kershaw in 2022?,"Yes, your queried detail is here, the MVI General Health in Kershaw was equal to High."
"What was the MVI Socioeconomic Determinants in Kershaw, Unknown, in 2022?","The MVI Socioeconomic Determinants in Kershaw, Unknown, in 2022 was Med."
Can you tell me what was the MVI Socioeconomic Determinants in Kershaw in 2022?,"Yes, your answer is here, the MVI Socioeconomic Determinants in Kershaw was Med."
The value for MVI Socioeconomic Determinants in Kershaw in 2022 was equal to?,"Yes, your answer is here, the MVI Socioeconomic Determinants in Kershaw was equal to Med."
Can you provide some details regarding the value for MVI Socioeconomic Determinants in Kershaw in 2022?,"Yes, your queried detail is here, the MVI Socioeconomic Determinants in Kershaw was equal to Med."
"What was the MVI Physical Environment in Kershaw, Unknown, in 2022?","The MVI Physical Environment in Kershaw, Unknown, in 2022 was High."
Can you tell me what was the MVI Physical Environment in Kershaw in 2022?,"Yes, your answer is here, the MVI Physical Environment in Kershaw was High."
The value for MVI Physical Environment in Kershaw in 2022 was equal to?,"Yes, your answer is here, the MVI Physical Environment in Kershaw was equal to High."
Can you provide some details regarding the value for MVI Physical Environment in Kershaw in 2022?,"Yes, your queried detail is here, the MVI Physical Environment in Kershaw was equal to High."
"What was the Total Deliveries in Greenville, Unknown, in 2022?","The Total Deliveries in Greenville, Unknown, in 2022 was 5954."
Can you tell me what was the Total Deliveries in Greenville in 2022?,"Yes, your answer is here, the Total Deliveries in Greenville was 5954."
The value for Total Deliveries in Greenville in 2022 was equal to?,"Yes, your answer is here, the Total Deliveries in Greenville was equal to 5954."
Can you provide some details regarding the value for Total Deliveries in Greenville in 2022?,"Yes, your queried detail is here, the Total Deliveries in Greenville was equal to 5954."
"What was the Percent Total Deliveries in Greenville, Unknown, in 2022?","The Percent Total Deliveries in Greenville, Unknown, in 2022 was 12.3."
Can you tell me what was the Percent Total Deliveries in Greenville in 2022?,"Yes, your answer is here, the Percent Total Deliveries in Greenville was 12.3."
The value for Percent Total Deliveries in Greenville in 2022 was equal to?,"Yes, your answer is here, the Percent Total Deliveries in Greenville was equal to 12.3."
Can you provide some details regarding the value for Percent Total Deliveries in Greenville in 2022?,"Yes, your queried detail is here, the Percent Total Deliveries in Greenville was equal to 12.3."
"What was the Percent Medicaid Deliveries in Greenville, Unknown, in 2022?","The Percent Medicaid Deliveries in Greenville, Unknown, in 2022 was 50.9."
Can you tell me what was the Percent Medicaid Deliveries in Greenville in 2022?,"Yes, your answer is here, the Percent Medicaid Deliveries in Greenville was 50.9."
The value for Percent Medicaid Deliveries in Greenville in 2022 was equal to?,"Yes, your answer is here, the Percent Medicaid Deliveries in Greenville was equal to 50.9."
Can you provide some details regarding the value for Percent Medicaid Deliveries in Greenville in 2022?,"Yes, your queried detail is here, the Percent Medicaid Deliveries in Greenville was equal to 50.9."
"What was the Percent Uninsured Deliveries in Greenville, Unknown, in 2022?","The Percent Uninsured Deliveries in Greenville, Unknown, in 2022 was 3.2."
Can you tell me what was the Percent Uninsured Deliveries in Greenville in 2022?,"Yes, your answer is here, the Percent Uninsured Deliveries in Greenville was 3.2."
The value for Percent Uninsured Deliveries in Greenville in 2022 was equal to?,"Yes, your answer is here, the Percent Uninsured Deliveries in Greenville was equal to 3.2."
Can you provide some details regarding the value for Percent Uninsured Deliveries in Greenville in 2022?,"Yes, your queried detail is here, the Percent Uninsured Deliveries in Greenville was equal to 3.2."
"What was the Percent Black Non-Hispanic Birthing Persons in Greenville, Unknown, in 2022?","The Percent Black Non-Hispanic Birthing Persons in Greenville, Unknown, in 2022 was 19.0."
Can you tell me what was the Percent Black Non-Hispanic Birthing Persons in Greenville in 2022?,"Yes, your answer is here, the Percent Black Non-Hispanic Birthing Persons in Greenville was 19.0."
The value for Percent Black Non-Hispanic Birthing Persons in Greenville in 2022 was equal to?,"Yes, your answer is here, the Percent Black Non-Hispanic Birthing Persons in Greenville was equal to 19.0."
Can you provide some details regarding the value for Percent Black Non-Hispanic Birthing Persons in Greenville in 2022?,"Yes, your queried detail is here, the Percent Black Non-Hispanic Birthing Persons in Greenville was equal to 19.0."
"What was the Percent Hispanic Birthing Persons in Greenville, Unknown, in 2022?","The Percent Hispanic Birthing Persons in Greenville, Unknown, in 2022 was 18.8."
Can you tell me what was the Percent Hispanic Birthing Persons in Greenville in 2022?,"Yes, your answer is here, the Percent Hispanic Birthing Persons in Greenville was 18.8."
